Well ID	Time ID	Median C2	Median C3					
103110502	6	26072	28749					
103110502	7	25246	25545					
103110502	8	25934	26648					
103110502	9	25707	26442					
103110503	1	20989	19251					
103110503	2	22906	20320					
103110503	3	22544	20504					
103110503	4	23252	20988					
103110503	5	24164	21434					
103110503	6	24074	20504					
103110503	7	24599	21556					
103110503	8	24839	21125					
103110503	9	24029	20793					
103110505	1	30992	24624					
103110505	2	32351	24690					
103110505	3	32368	24537					
103110505	4	33577	25340					
103110505	5	36089	26976					
103110505	6	33147	25473					
103110505	7	34905	26775					
103110505	8	36202	26140					
103110505	9	35418	25763					
103110506	3	23035	15024					
103110602	1	24830	21700					
103110602	2	25200	22523					
103110602	3	26418	22666					
103110602	4	25809	23244					
103110602	5	26874	23868					
103110602	6	27140	24194					
103110602	7	27359	23433					
103110602	8	28264	23596					
103110602	9	27850	24484					
103110604	1	22758	25166					
103110604	2	22423	25406					
103110604	3	22387	25069					
103110604	4	23078	26370					
103110604	5	22732	26862					
103110604	6	23864	26602					
103110604	7	23313	26464					
103110604	8	23868	26428					
103110604	9	24269	26351					
103110608	3	21281	14922					
103110705	1	23397	13357					
103110709	1	37534	20962					
103110709	2	35102	21381					
103110709	3	37705	21678					
103110709	4	36074	21947					
103110709	5	35103	22459					
103110709	6	37301	22598					
103110709	7	38117	22009					
103110709	8	38932	21890					
103110709	9	38830	21576					
103110801	1	31258	21741					
103110801	2	30445	21677					
103110801	3	30630	22637					
103110801	4	29905	22303					
103110801	5	32341	23977					
103110801	6	31413	22995					
103110801	7	32849	24492					
103110801	8	30438	22802					
103110801	9	32594	22633					
103110802	1	23220	30411					
103110802	2	23472	31684					
103110802	3	22898	30143					
103110802	4	24853	30811					
103110802	5	24289	31207					
103110802	6	23660	31143					
103110802	7	24263	30210					
103110802	8	24197	31522					
103110802	9	25297	27009					
103110806	1	22495	24043					
103110806	2	22220	24308					
103110806	3	23317	25486					
103110806	4	22631	24901					
103110806	5	21814	25450					
103110806	6	22866	25721					
103110806	7	23292	24860					
103110806	8	23895	25970					
103110806	9	23601	24054					
103110807	2	22255	13734					
103110810	1	17705	18804					
103110810	2	18259	17974					
103110810	3	18343	20103					
103110810	4	19036	20813					
103110810	5	18268	20569					
103110810	6	19461	20245					
103110810	7	19174	20791					
103110810	8	18984	18550					
103110810	9	19100	20232					
103110907	6	23233	15391					
103110909	1	19563	23165					
103110909	2	19303	23479					
103110909	3	20018	22193					
103110909	4	20586	24134					
103110909	5	21116	24444					
103110909	6	21015	23354					
103110909	7	20366	23340					
103110909	8	21916	22596					
103110909	9	21191	21843					
103111003	1	21828	19490					
103111003	2	21777	19273					
103111003	3	21757	20544					
103111003	4	22556	20469					
103111003	5	22904	21636					
103111003	6	23129	20978					
103111003	7	23737	21648					
103111003	8	23881	20773					
103111003	9	23210	20802					
103111004	1	21157	19930					
103111004	2	21256	20774					
103111004	3	21638	21304					
103111004	4	22133	20939					
103111004	5	21705	20749					
103111004	6	22858	21654					
103111004	7	22779	21431					
103111004	8	23178	21982					
103111004	9	22162	21590					
103111009	1	20851	17196					
103111009	2	20143	17182					
103111009	3	20176	17604					
103111009	4	20770	18598					
103111009	5	20703	18616					
103111009	6	20508	18664					
103111009	7	21321	18762					
103111009	8	22116	18588					
